Team,player_id,name,status,position_type,eligible_positions,selected_position
Grimes for MVP,5471,Myles Turner,,P,"['C', 'Util']",Util
Grimes for MVP,5643,Taurean Prince,,P,"['SF', 'PF', 'F', 'Util']",BN
Grimes for MVP,5349,Spencer Dinwiddie,,P,"['PG', 'SG', 'G', 'Util']",BN
Grimes for MVP,5650,Malik Beasley,,P,"['SG', 'G', 'SF', 'F', 'Util']",BN
Grimes for MVP,6422,Desmond Bane,GTD,P,"['SG', 'G', 'SF', 'F', 'Util', 'IL+']",IL
Maccabi Secret,6516,Jalen Suggs,,P,"['PG', 'SG', 'G', 'Util']",PG
Maccabi Secret,5660,Dejounte Murray,,P,"['PG', 'SG', 'G', 'Util']",SG
Maccabi Secret,5843,Josh Hart,,P,"['SG', 'G', 'SF', 'F', 'Util']",G
Maccabi Secret,6548,Josh Giddey,,P,"['SG', 'G', 'SF', 'PF', 'F', 'Util']",SF
Maccabi Secret,5642,Domantas Sabonis,,P,"['PF', 'F', 'C', 'Util']",PF
Maccabi Secret,6267,Max Strus,,P,"['SG', 'G', 'SF', 'F', 'Util']",F
Maccabi Secret,6693,Jabari Smith Jr.,,P,"['PF', 'F', 'C', 'Util']",C
Maccabi Secret,4152,Kyle Lowry,,P,"['PG', 'G', 'Util']",Util
Maccabi Secret,5484,Tyus Jones,GTD,P,"['PG', 'G', 'Util', 'IL+']",Util
Maccabi Secret,4886,Jonas Valančiūnas,,P,"['C', 'Util']",Util
Maccabi Secret,3930,Chris Paul,,P,"['PG', 'G', 'Util']",BN
Maccabi Secret,4840,Kyrie Irving,GTD,P,"['PG', 'SG', 'G', 'Util', 'IL+']",BN
Maccabi Secret,4897,Nikola Vučević,,P,"['C', 'Util']",BN
Maccabi Secret,5317,Marcus Smart,GTD,P,"['PG', 'SG', 'G', 'Util', 'IL+']",IL+
Ugly Kid Joe,6167,Darius Garland,,P,"['PG', 'G', 'Util']",PG
Ugly Kid Joe,6512,Cade Cunningham,,P,"['PG', 'SG', 'G', 'Util']",SG
Ugly Kid Joe,10104,Brandon Miller,GTD,P,"['SG', 'G', 'SF', 'F', 'Util', 'IL+']",G
Ugly Kid Joe,6580,Ayo Dosunmu,,P,"['SG', 'G', 'SF', 'F', 'Util']",SF
Ugly Kid Joe,6699,Jeremy Sochan,,P,"['PG', 'G', 'PF', 'F', 'Util']",PF
Ugly Kid Joe,5013,Harrison Barnes,,P,"['SF', 'PF', 'F', 'Util']",F
Ugly Kid Joe,10097,Dereck Lively II,,P,"['C', 'Util']",C
Ugly Kid Joe,5727,Fred VanVleet,GTD,P,"['PG', 'G', 'Util', 'IL+']",Util
Ugly Kid Joe,5601,Brandon Ingram,,P,"['SG', 'G', 'SF', 'PF', 'F', 'Util']",Util
Ugly Kid Joe,5338,Bogdan Bogdanović,,P,"['SG', 'G', 'SF', 'PF', 'F', 'Util']",Util
Ugly Kid Joe,5637,Buddy Hield,,P,"['SG', 'G', 'SF', 'F', 'Util']",BN
Ugly Kid Joe,6572,Santi Aldama,,P,"['PF', 'F', 'C', 'Util']",BN
Ugly Kid Joe,6692,Chet Holmgren,,P,"['PF', 'F', 'C', 'Util']",BN
Ugly Kid Joe,6015,Jaren Jackson Jr.,GTD,P,"['PF', 'F', 'C', 'Util', 'IL+']",IL
Ugly Kid Joe,6514,Evan Mobley,,P,"['PF', 'F', 'C', 'Util']",IL+
Arul minion's,5826,Donovan Mitchell,GTD,P,"['PG', 'SG', 'G', 'Util', 'IL+']",PG
Arul minion's,5009,Bradley Beal,,P,"['PG', 'SG', 'G', 'Util']",SG
Arul minion's,5476,Terry Rozier,,P,"['PG', 'SG', 'G', 'Util']",G
Arul minion's,6030,Kevin Huerter,GTD,P,"['SG', 'G', 'SF', 'F', 'Util', 'IL+']",SF
Arul minion's,6173,Cameron Johnson,GTD,P,"['SF', 'PF', 'F', 'Util', 'IL+']",PF
Arul minion's,6702,Jalen Williams,,P,"['SG', 'G', 'SF', 'PF', 'F', 'Util']",F
Arul minion's,5835,Jarrett Allen,,P,"['C', 'Util']",C
Arul minion's,5763,Markelle Fultz,,P,"['PG', 'SG', 'G', 'Util']",Util
Arul minion's,6412,Precious Achiuwa,,P,"['PF', 'F', 'C', 'Util']",Util
Arul minion's,5959,Marvin Bagley III,GTD,P,"['PF', 'F', 'C', 'Util', 'IL+']",Util
Arul minion's,6035,Anfernee Simons,GTD,P,"['PG', 'SG', 'G', 'Util', 'IL+']",BN
Arul minion's,5769,Lauri Markkanen,GTD,P,"['SF', 'PF', 'F', 'Util', 'IL+']",BN
Arul minion's,6712,Walker Kessler,,P,"['C', 'Util']",BN
Arul minion's,6569,Cam Thomas,,P,"['SG', 'G', 'SF', 'F', 'Util']",IL
Arul minion's,6175,Tyler Herro,,P,"['PG', 'SG', 'G', 'Util']",IL+
